,Experiment.Time,dice_number,report,RT,Honestly_Question1,Honestly_Question2,Honestly_Question3,Honestly_Question4,Honestly_Question5,Age,Gender,Gender_Clean,Education,Comprehension,Feedbacks,Researcher,Even,ReportEvenBinary,Dice_Combo,Truth,LiedForGain,Treatment
20,11/16/2018 14:30,5,1,8.846,7,8,9,3,1,19,FALSE,NoneGiven,Less than a College Degree,1,NA,Marie,0,1,0 1,0,1,Depletion
21,11/16/2018 15:52,5,1,11.667,10,10,10,0,0,24,f,F,Graduate Degree (Masters or above),3,face valid ,Marie,0,1,0 1,0,1,Depletion
22,11/17/2018 15:43,3,-1,6.921,7,9,2,0,1,18,Female,F,Less than a College Degree,3,NA,Marie,0,0,0 0,1,0,Depletion
23,12/1/2018 13:42,1,-1,7.323,8,10,7,4,1,23,male,M,College Degree (Associates or Bachelor's,3,NA,Marie,0,0,0 0,1,0,Depletion
24,11/16/2018 14:44,5,-1,7.011,9,10,5,3,0,20,female,F,College Degree (Associates or Bachelor's,3,NA,Michael,0,0,0 0,1,0,Depletion
25,11/17/2018 15:35,3,-1,9.392,10,10,5,5,0,57,m,M,Graduate Degree (Masters or above),1,NA,Michael,0,0,0 0,1,0,Depletion
26,11/24/2018 11:11,6,1,7.252,8,5,0,0,0,23,Male,M,College Degree (Associates or Bachelor's,3,NA,Michael,1,1,1 1,1,0,Depletion
27,12/1/2018 13:01,5,-1,11.301,8,9,10,0,0,21,Male,M,College Degree (Associates or Bachelor's,3,NA,Michael,0,0,0 0,1,0,Depletion
28,11/14/2018 15:05,5,1,5.685,8,10,3,2,1,23,Female,F,Graduate Degree (Masters or above),1,NA,Michael,0,1,0 1,0,1,Depletion
29,12/1/2018 13:17,4,1,6.583,10,8,5,2,0,18,Male,M,Less than a College Degree,3,NA,Michael,1,1,1 1,1,0,Depletion
30,11/15/2018 13:02,6,1,6.61,8,10,2,0,0,39,male,M,Graduate Degree (Masters or above),3,NA,John,1,1,1 1,1,0,Depletion
31,11/16/2018 14:21,2,1,3.747,8,9,10,3,0,18,Female,F,Less than a College Degree,1,Not Applicable,John,1,1,1 1,1,0,Depletion
32,11/21/2018 11:02,1,1,16.838,8,8,3,1,1,53,Male,M,Graduate Degree (Masters or above),1,NA,John,0,1,0 1,0,1,Depletion
33,11/21/2018 12:17,1,-1,8.045,8,10,6,0,0,28,FALSE,NoneGiven,Graduate Degree (Masters or above),3,NA,John,0,0,0 0,1,0,Depletion
34,11/21/2018 15:28,3,-1,13.918,10,10,6,0,0,45,FALSE,NoneGiven,Graduate Degree (Masters or above),1,NA,John,0,0,0 0,1,0,Depletion
35,11/26/2018 11:00,6,1,11.444,8,10,8,2,0,44,Female,F,College Degree (Associates or Bachelor's,1,NA,John,1,1,1 1,1,0,Depletion
36,11/27/2018 10:52,5,-1,9.773,0,0,0,0,0,NA,NA,NoneGiven,Less than a College Degree,1,NA,John,0,0,0 0,1,0,Depletion
37,11/28/2018 11:20,1,-1,12.002,9,10,2,0,0,48,female,F,College Degree (Associates or Bachelor's,3,NA,John,0,0,0 0,1,0,Depletion
38,11/28/2018 15:04,5,-1,5.959,0,8,5,0,1,44,female,F,College Degree (Associates or Bachelor's,1,I am mentally tired now,John,0,0,0 0,1,0,Depletion
39,11/30/2018 14:23,2,1,7.207,10,0,0,0,0,46,Female,F,Less than a College Degree,3,NA,John,1,1,1 1,1,0,Depletion
40,11/30/2018 15:53,6,1,8.185,8,10,5,1,0,40,Male,M,College Degree (Associates or Bachelor's,3,Interesting test. I believe the instructions changed during the second test.,John,1,1,1 1,1,0,Depletion
